DBS ID	DDPHENO_ID	PHENOTYPE_TERM	NOTE	DDENVIR_ID	ENVIRONMENT_TERM
DBS0237087	DDPHENO:0000394	decreased growth rate		DDENVIR:0000004	on bacterial plate
DBS0237087	DDPHENO:0001080	abolished aggregation			
DBS0237088	DDPHENO:0000394	decreased growth rate		DDENVIR:0000004	on bacterial plate
DBS0237088	DDPHENO:0001080	abolished aggregation			
DBS0238016	DDPHENO:0000193	abolished DIF production			
DBS0238016	DDPHENO:0001080	abolished aggregation			
DBS0238142	DDPHENO:0001055	increased number of tips in mound			
DBS0238233	DDPHENO:0000165	increased stalk length			
DBS0238834	DDPHENO:0000077	decreased fruiting body size			
DBS0238834	DDPHENO:0000394	decreased growth rate		DDENVIR:0000004	on bacterial plate
DBS0252577	DDPHENO:0001080	abolished aggregation			
DBS0252578	DDPHENO:0001080	abolished aggregation			
DBS0266699	DDPHENO:0000510	aberrant stalk morphogenesis			
DBS0302399	DDPHENO:0000158	decreased aggregate size			
DBS0302399	DDPHENO:0000394	decreased growth rate			
DBS0304597	DDPHENO:0000483	aberrant aggregation			
